epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9971,3.78389,4.5055,2.31284,0.05329,0.03354,0.01621,0.00252,0.00053,2.66212,4.04471,2.11422,0.0405,0.00035725,0.00035725,0.00035725
2,20.7544,3.37275,4.11767,1.89376,0.07524,0.03158,0.06383,0.01275,0.00239,2.71986,3.4761,1.91445,0.07926,0.000810005,0.000810005,0.000810005
3,30.4738,2.6361,3.36166,1.44661,0.08709,0.03158,0.06383,0.01275,0.00239,2.71986,3.4761,1.91445,0.07926,0.00123581,0.00123581,0.00123581
4,39.3561,2.63436,2.99188,1.49371,0.08486,0.74993,0.11098,0.05048,0.01586,2.21199,2.41584,1.61724,0.08036,0.00130774,0.00130774,0.00130774
5,47.8257,2.28801,2.57313,1.27842,0.05426,0.74993,0.11098,0.05048,0.01586,2.21199,2.41584,1.61724,0.08036,0.00126732,0.00126732,0.00126732
6,57.1749,2.29415,2.23936,1.34852,0.05374,0.79065,0.13171,0.07727,0.02744,2.02678,1.93373,1.55175,0.07158,0.0012269,0.0012269,0.0012269
7,66.9985,2.21572,2.06385,1.43682,0.04326,0.78977,0.18845,0.10863,0.04797,2.00504,1.53134,1.54115,0.06124,0.00118648,0.00118648,0.00118648
8,77.9015,1.9646,1.62485,1.3345,0.04236,0.78977,0.18845,0.10863,0.04797,2.00504,1.53134,1.54115,0.06124,0.00114606,0.00114606,0.00114606
9,91.4298,2.03187,1.56928,1.29397,0.03742,0.79092,0.21917,0.12445,0.05622,1.96848,2.02853,1.57773,0.05442,0.00110564,0.00110564,0.00110564
10,100.907,2.07306,1.29517,1.48886,0.0395,0.79092,0.21917,0.12445,0.05622,1.96848,2.02853,1.57773,0.05442,0.00106522,0.00106522,0.00106522
11,111.379,1.96799,1.2543,1.41799,0.03277,0.82083,0.22999,0.16204,0.07603,1.8246,2.45012,1.59367,0.04053,0.0010248,0.0010248,0.0010248
12,119.784,1.69311,1.15392,1.28669,0.0353,0.82083,0.22999,0.16204,0.07603,1.8246,2.45012,1.59367,0.04053,0.000984377,0.000984377,0.000984377
13,128.467,1.60491,1.08728,1.24133,0.03139,0.84822,0.24316,0.20757,0.09185,1.71261,2.11891,1.61808,0.04075,0.000943957,0.000943957,0.000943957
14,137.26,1.71485,1.05623,1.38334,0.04115,0.87566,0.25532,0.21768,0.09123,1.66443,1.45792,1.61207,0.03522,0.000903536,0.000903536,0.000903536
15,147.019,1.59805,0.991,1.44462,0.0235,0.87566,0.25532,0.21768,0.09123,1.66443,1.45792,1.61207,0.03522,0.000863116,0.000863116,0.000863116
16,155.687,1.5006,0.99023,1.39419,0.02324,0.91165,0.26342,0.25988,0.10782,1.59103,1.066,1.5747,0.02367,0.000822696,0.000822696,0.000822696
17,164.976,1.62367,1.01408,1.43001,0.03072,0.91165,0.26342,0.25988,0.10782,1.59103,1.066,1.5747,0.02367,0.000782275,0.000782275,0.000782275
18,173.614,1.60461,0.99183,1.27408,0.03153,0.9119,0.27052,0.28861,0.12694,1.5527,0.9454,1.52882,0.02318,0.000741855,0.000741855,0.000741855
19,183.54,1.46916,0.92227,1.24577,0.03131,0.9119,0.27052,0.28861,0.12694,1.5527,0.9454,1.52882,0.02318,0.000701435,0.000701435,0.000701435
20,193.735,1.51652,0.91452,1.27906,0.02638,0.92205,0.27882,0.33438,0.15008,1.50786,0.8944,1.50169,0.02112,0.000661015,0.000661015,0.000661015
21,203.836,1.51319,0.91619,1.16836,0.0195,0.93027,0.27052,0.3398,0.16393,1.46751,0.87356,1.48716,0.02338,0.000620594,0.000620594,0.000620594
22,214.306,1.48717,0.87318,1.2435,0.02719,0.93027,0.27052,0.3398,0.16393,1.46751,0.87356,1.48716,0.02338,0.000580174,0.000580174,0.000580174
23,223.736,1.48568,0.86308,1.29141,0.02061,0.93228,0.27862,0.35108,0.16881,1.44063,0.86236,1.48285,0.0221,0.000539754,0.000539754,0.000539754
24,232.693,1.57165,0.88572,1.28881,0.02118,0.93228,0.27862,0.35108,0.16881,1.44063,0.86236,1.48285,0.0221,0.000499333,0.000499333,0.000499333
25,242.097,1.39884,0.83951,1.29756,0.02032,0.94176,0.27356,0.34649,0.16425,1.43738,0.86672,1.48833,0.02156,0.000458913,0.000458913,0.000458913
26,253.779,1.43962,0.84673,1.24737,0.02023,0.94176,0.27356,0.34649,0.16425,1.43738,0.86672,1.48833,0.02156,0.000418493,0.000418493,0.000418493
27,263.701,1.55186,0.87521,1.36763,0.02357,0.93864,0.27395,0.32201,0.15793,1.41856,0.85983,1.49248,0.02144,0.000378073,0.000378073,0.000378073
28,272.175,1.52549,0.90752,1.2738,0.02008,0.94376,0.27356,0.34071,0.16659,1.40395,0.83986,1.48989,0.01714,0.000337652,0.000337652,0.000337652
29,281.209,1.43005,0.87479,1.33394,0.01677,0.94376,0.27356,0.34071,0.16659,1.40395,0.83986,1.48989,0.01714,0.000297232,0.000297232,0.000297232
30,290.887,1.38606,0.85012,1.19374,0.01777,0.23521,0.47974,0.35301,0.17279,1.38163,0.81618,1.4895,0.01783,0.000256812,0.000256812,0.000256812
31,299.51,1.35573,0.82574,1.27964,0.02139,0.23521,0.47974,0.35301,0.17279,1.38163,0.81618,1.4895,0.01783,0.000216391,0.000216391,0.000216391
32,308.102,1.37921,0.81753,1.29469,0.01868,0.93254,0.28354,0.36664,0.17908,1.37301,0.80088,1.4892,0.01978,0.000175971,0.000175971,0.000175971
33,316.806,1.38904,0.83933,1.31679,0.01883,0.93254,0.28354,0.36664,0.17908,1.37301,0.80088,1.4892,0.01978,0.000135551,0.000135551,0.000135551
34,325.988,1.35968,0.811,1.3881,0.02046,0.93691,0.28673,0.35678,0.17532,1.36723,0.79362,1.4864,0.01938,9.51306e-05,9.51306e-05,9.51306e-05
35,334.826,1.3683,0.83124,1.38361,0.02061,0.93635,0.28774,0.36068,0.17374,1.36457,0.78914,1.48299,0.01901,5.47103e-05,5.47103e-05,5.47103e-05
